LR,NSG,NSD,DP,Score
0.01,0.01,0.01,0.0,0.3785732148232144
0.01,0.01,0.01,0.01,0.18793571463571437
0.01,0.01,0.01,0.1,0.3585053577303572
0.01,0.01,0.01,0.3,0.38518750040000005
0.01,0.01,0.01,0.6,0.37402857197857153
0.01,0.01,0.01,0.8,0.4313107148607144
0.01,0.01,0.1,0.0,0.38169285738035724
0.01,0.01,0.1,0.01,0.3885428573928572
0.01,0.01,0.1,0.1,0.43348214309464295
0.01,0.01,0.1,0.3,0.4332642862267858
0.01,0.01,0.1,0.6,0.4602392861392858
0.01,0.01,0.1,0.8,0.3591660718785715
0.01,0.01,0.3,0.0,0.3724535716535715
0.01,0.01,0.3,0.01,0.30039821451071436
0.01,0.01,0.3,0.1,0.34973928618928585
0.01,0.01,0.3,0.3,0.2831267858892858
0.01,0.01,0.3,0.6,0.3289500001500001
0.01,0.01,0.3,0.8,0.1344982145232143
0.01,0.01,0.6,0.0,0.29801071449821437
0.01,0.01,0.6,0.01,0.2153964286714286
0.01,0.01,0.6,0.1,0.3125017859017858
0.01,0.01,0.6,0.3,0.3269892860767858
0.01,0.01,0.6,0.6,0.17540714298214286
0.01,0.01,0.6,0.8,0.30859285725535723
0.01,0.01,1.0,0.0,0.3717517858892858
0.01,0.01,1.0,0.01,0.3027285716660715
0.01,0.01,1.0,0.1,0.39313571441071427
0.01,0.01,1.0,0.3,0.29882500015
0.01,0.01,1.0,0.6,0.2835678574553572
0.01,0.01,1.0,0.8,0.16332500018750007
0.01,0.1,0.01,0.0,0.4156553577053573
0.01,0.1,0.01,0.01,0.38933750053750016
0.01,0.1,0.01,0.1,0.44429107201607154
0.01,0.1,0.01,0.3,0.4498607148607144
0.01,0.1,0.01,0.6,0.45211964340714306
0.01,0.1,0.01,0.8,0.4175839291589287
0.01,0.1,0.1,0.0,0.36714821482321436
0.01,0.1,0.1,0.01,0.30460892903392867
0.01,0.1,0.1,0.1,0.2772535719910716
0.01,0.1,0.1,0.3,0.4080125005625001
0.01,0.1,0.1,0.6,0.44365000055000003
0.01,0.1,0.1,0.8,0.29984285769285723
0.01,0.1,0.3,0.0,0.2590089290089287
0.01,0.1,0.3,0.01,0.2811428575678573
0.01,0.1,0.3,0.1,0.31449464331964294
0.01,0.1,0.3,0.3,0.3016339291339287
0.01,0.1,0.3,0.6,0.28840714339464296
0.01,0.1,0.3,0.8,0.24643214331964297
0.01,0.1,0.6,0.0,0.24953214334464294
0.01,0.1,0.6,0.01,0.2835035719910715
0.01,0.1,0.6,0.1,0.2815982147857144
0.01,0.1,0.6,0.3,0.33146785756785724
0.01,0.1,0.6,0.6,0.14285714306964292
0.01,0.1,0.6,0.8,0.2316339289714287
0.01,0.1,1.0,0.0,0.41400000051250013
0.01,0.1,1.0,0.01,0.25969821473571436
0.01,0.1,1.0,0.1,0.26765357187857153
0.01,0.1,1.0,0.3,0.2746767862267858
0.01,0.1,1.0,0.6,0.1959464289714287
0.01,0.1,1.0,0.8,0.34012500042500016
0.01,0.3,0.01,0.0,0.3644928576678572
0.01,0.3,0.01,0.01,0.3408178576303572
0.01,0.3,0.01,0.1,0.46487678628928586
0.01,0.3,0.01,0.3,0.32495357196607155
0.01,0.3,0.01,0.6,0.42440000057500005
0.01,0.3,0.01,0.8,0.3538410720035715
0.01,0.3,0.1,0.0,0.3283125004875001
0.01,0.3,0.1,0.01,0.3934500005250001
0.01,0.3,0.1,0.1,0.1822607148357144
0.01,0.3,0.1,0.3,0.21494107196607154
0.01,0.3,0.1,0.6,0.26244285771785725
0.01,0.3,0.1,0.8,0.24744285766785729
0.01,0.3,0.3,0.0,0.25311428627678584
0.01,0.3,0.3,0.01,0.3395660719785716
0.01,0.3,0.3,0.1,0.20603035771785727
0.01,0.3,0.3,0.3,0.16963571486071444
0.01,0.3,0.3,0.6,0.2384607147607144
0.01,0.3,0.3,0.8,0.2725875004625001
0.01,0.3,0.6,0.0,0.25681785770535726
