age,workclass,education,edu-num,marital-status,occupation,relationship,race,sex,income
39, State-gov, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male, <=50K
50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male, <=50K
38, Private, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male, <=50K
53, Private, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, <=50K
28, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female, <=50K
37, Private, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female, <=50K
49, Private, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female, <=50K
52, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male, >50K
31, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female, >50K
42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male, >50K
37, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, >50K
30, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, >50K
23, Private, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female, <=50K
32, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male, <=50K
40, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, >50K
34, Private, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male, <=50K
25, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male, <=50K
32, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male, <=50K
38, Private, 11th,7, Married-civ-spouse, Sales, Husband, White, Male, <=50K
43, Self-emp-not-inc, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female, >50K
40, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male, >50K
54, Private, HS-grad,9, Separated, Other-service, Unmarried, Black, Female, <=50K
35, Federal-gov, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male, <=50K
43, Private, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male, <=50K
59, Private, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female, <=50K
56, Local-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male, >50K
19, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male, <=50K
54, ?, Some-college,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male, >50K
39, Private, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male, <=50K
49, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
23, Local-gov, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male, <=50K
20, Private, Some-college,10, Never-married, Sales, Own-child, Black, Male, <=50K
45, Private, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male, <=50K
30, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male, <=50K
