Age,Height,Weight,Sex,Year,Season,City,Sport,Medal,AOS,AOE
24,180,80,M,1992,Summer,Barcelona,Basketball,Thanks,1,1
23,170,60,M,2012,Summer,London,Judo,Thanks,1,1
24,175,71,M,1920,Summer,Antwerpen,Football,Thanks,1,1
34,182,95,M,1900,Summer,Paris,Tug-Of-War,Gold,1,1
21,185,82,F,1988,Winter,Calgary,Speed Skating,Thanks,1,2
25,185,82,F,1992,Winter,Albertville,Speed Skating,Thanks,1,2
27,185,82,F,1994,Winter,Lillehammer,Speed Skating,Thanks,1,2
31,188,75,M,1992,Winter,Albertville,Cross Country Skiing,Thanks,1,5
33,188,75,M,1994,Winter,Lillehammer,Cross Country Skiing,Thanks,1,5
31,183,72,M,1992,Winter,Albertville,Cross Country Skiing,Thanks,1,5
33,183,72,M,1994,Winter,Lillehammer,Cross Country Skiing,Thanks,1,5
18,168,67,F,1932,Summer,Los Angeles,Athletics,Thanks,1,2
26,186,96,M,2002,Winter,Salt Lake City,Ice Hockey,Thanks,1,1
26,178,70,M,1952,Summer,Helsinki,Swimming,Thanks,1,1
22,182,76,M,1980,Winter,Lake Placid,Cross Country Skiing,Thanks,1,1
31,172,70,M,2000,Summer,Sydney,Badminton,Thanks,1,1
30,159,55,F,1996,Summer,Atlanta,Sailing,Thanks,1,1
34,159,55,F,2000,Summer,Sydney,Sailing,Thanks,1,1
32,171,65,F,1994,Winter,Lillehammer,Biathlon,Thanks,1,1
22,178,70,M,1912,Summer,Stockholm,Swimming,Thanks,1,2
30,178,70,M,1920,Summer,Antwerpen,Swimming,Bronze,1,2
34,178,70,M,1924,Summer,Paris,Swimming,Thanks,1,2
28,184,85,M,2014,Winter,Sochi,Ice Hockey,Bronze,1,1
28,175,64,M,1948,Summer,London,Gymnastics,Bronze,1,8
32,175,64,M,1952,Summer,Helsinki,Gymnastics,Thanks,1,8
31,189,130,M,2000,Summer,Sydney,Athletics,Thanks,1,1
54,175,76,M,1948,Summer,London,Art Competitions,Thanks,1,1
20,176,85,M,1992,Winter,Albertville,Alpine Skiing,Thanks,1,5
22,176,85,M,1994,Winter,Lillehammer,Alpine Skiing,Silver,1,5
26,176,85,M,1998,Winter,Nagano,Alpine Skiing,Thanks,1,5
30,176,85,M,2002,Winter,Salt Lake City,Alpine Skiing,Thanks,1,5
34,176,85,M,2006,Winter,Torino,Alpine Skiing,Thanks,1,5
27,163,82,F,2008,Summer,Beijing,Handball,Gold,1,1
22,170,125,F,2016,Summer,Rio de Janeiro,Weightlifting,Thanks,1,1
22,187,89,M,2000,Summer,Sydney,Wrestling,Thanks,1,1
26,187,89,M,2004,Summer,Athina,Wrestling,Thanks,1,1
24,174,70,M,1960,Winter,Squaw Valley,Speed Skating,Thanks,1,2
27,174,70,M,1964,Winter,Innsbruck,Speed Skating,Thanks,1,2
24,164,58,M,1920,Summer,Antwerpen,Gymnastics,Silver,1,1
17,169,65,F,1984,Winter,Sarajevo,Luge,Thanks,1,1
26,185,84,M,1984,Summer,Los Angeles,Water Polo,Thanks,1,1
43,170,77,M,1968,Summer,Mexico City,Sailing,Thanks,1,1
47,170,77,M,1972,Summer,Munich,Sailing,Thanks,1,1
22,173,69,F,1988,Summer,Seoul,Hockey,Bronze,1,1
26,189,72,M,1996,Summer,Atlanta,Rowing,Silver,1,1
30,189,72,M,2000,Summer,Sydney,Rowing,Thanks,1,1
24,174,70,M,1936,Summer,Berlin,Athletics,Thanks,1,1
23,176,67,M,1912,Summer,Stockholm,Athletics,Thanks,1,1
24,187,76,M,1992,Summer,Barcelona,Sailing,Thanks,1,1
28,187,76,M,1996,Summer,Atlanta,Sailing,Thanks,1,1
30,187,76,M,2012,Summer,London,Athletics,Thanks,1,1
24,190,98,M,1998,Winter,Nagano,Bobsleigh,Thanks,1,1
21,194,78,M,1996,Summer,Atlanta,Swimming,Thanks,1,3
25,194,78,M,2000,Summer,Sydney,Swimming,Thanks,1,3
23,182,64,F,1996,Summer,Atlanta,Football,Bronze,1,1
20,164,58,M,1920,Summer,Antwerpen,Gymnastics,Silver,1,1
33,178,72,M,1912,Summer,Stockholm,Fencing,Thanks,1,3
23,174,70,M,1952,Winter,Oslo,Speed Skating,Bronze,1,3
27,174,70,M,1956,Winter,Cortina d'Ampezzo,Speed Skating,Thanks,1,3
31,174,70,M,1960,Winter,Squaw Valley,Speed Skating,Gold,1,3
28,175,71,M,1920,Summer,Antwerpen,Football,Thanks,1,1
25,179,74,M,1912,Summer,Stockholm,Sailing,Gold,1,1
34,185,75,M,1992,Summer,Barcelona,Equestrianism,Thanks,1,1
25,182,73,M,1998,Winter,Nagano,Cross Country Skiing,Thanks,1,4
29,182,73,M,2002,Winter,Salt Lake City,Cross Country Skiing,Thanks,1,4
41,174,74,M,1936,Summer,Berlin,Shooting,Thanks,1,1
33,194,93,M,1936,Summer,Berlin,Shooting,Thanks,1,2
45,194,93,M,1948,Summer,London,Shooting,Thanks,1,2
49,194,93,M,1952,Summer,Helsinki,Shooting,Thanks,1,2
53,194,93,M,1956,Summer,Melbourne,Shooting,Thanks,1,2
57,194,93,M,1960,Summer,Roma,Shooting,Thanks,1,2
22,177,74,M,1920,Summer,Antwerpen,Athletics,Thanks,1,2
26,177,74,M,1924,Summer,Paris,Athletics,Thanks,1,2
30,177,74,M,1928,Summer,Amsterdam,Athletics,Thanks,1,2
24,172,64,M,2012,Summer,London,Boxing,Thanks,1,1
24,168,65,F,2004,Summer,Athina,Athletics,Thanks,1,1
28,168,65,F,2008,Summer,Beijing,Athletics,Thanks,1,1
22,185,106,M,1992,Summer,Barcelona,Wrestling,Thanks,1,1
26,185,106,M,1996,Summer,Atlanta,Wrestling,Thanks,1,1
23,167,64,M,2016,Summer,Rio de Janeiro,Gymnastics,Thanks,1,6
22,189,80,M,1976,Summer,Montreal,Athletics,Thanks,1,1
24,172,58,M,2000,Summer,Sydney,Taekwondo,Thanks,1,1
23,172,63,M,1948,Summer,London,Boxing,Thanks,1,1
26,170,65,M,2016,Summer,Rio de Janeiro,Athletics,Thanks,1,1
21,176,70,M,1956,Summer,Melbourne,Cycling,Thanks,1,2
24,176,66,M,1988,Summer,Seoul,Boxing,Thanks,1,1
24,176,70,M,1924,Summer,Paris,Cycling,Thanks,1,2
24,164,71,M,1956,Summer,Melbourne,Weightlifting,Thanks,1,2
28,164,71,M,1960,Summer,Roma,Weightlifting,Thanks,1,2
24,172,75,M,1960,Summer,Roma,Weightlifting,Thanks,1,1
26,175,72,M,1960,Summer,Roma,Football,Thanks,1,1
21,198,90,M,2016,Summer,Rio de Janeiro,Rowing,Bronze,1,1
30,194,87,M,2008,Summer,Beijing,Fencing,Bronze,1,1
31,174,73,M,1992,Summer,Barcelona,Judo,Thanks,1,1
21,165,49,F,2016,Summer,Rio de Janeiro,Taekwondo,Bronze,1,1
23,156,48,M,1972,Summer,Munich,Boxing,Thanks,1,1
22,179,80,F,2008,Summer,Beijing,Athletics,Silver,1,1
26,179,80,F,2012,Summer,London,Athletics,Thanks,1,1
23,178,76,M,2000,Summer,Sydney,Swimming,Thanks,1,2
19,185,72,F,2008,Summer,Beijing,Basketball,Thanks,1,1
26,167,65,M,2000,Summer,Sydney,Diving,Thanks,1,1
27,172,82,M,1992,Summer,Barcelona,Canoeing,Thanks,1,2
24,180,83,M,2004,Summer,Athina,Canoeing,Thanks,1,1
28,180,83,M,2008,Summer,Beijing,Canoeing,Gold,1,1
23,182,86,M,2008,Summer,Beijing,Handball,Gold,1,1
27,182,86,M,2012,Summer,London,Handball,Gold,1,1
31,182,86,M,2016,Summer,Rio de Janeiro,Handball,Silver,1,1
30,182,73,F,2012,Summer,London,Rowing,Thanks,1,1
22,178,70,M,2004,Summer,Athina,Fencing,Thanks,1,1
22,185,82,M,2000,Summer,Sydney,Football,Gold,1,1
27,166,75,M,1968,Summer,Mexico City,Boxing,Thanks,1,1
26,174,73,M,1996,Summer,Atlanta,Judo,Thanks,1,1
23,172,63,M,1924,Summer,Paris,Boxing,Thanks,1,1
22,186,83,M,1996,Summer,Atlanta,Water Polo,Gold,1,1
22,190,77,M,2004,Summer,Athina,Football,Thanks,1,1
26,183,75,M,2000,Summer,Sydney,Tennis,Thanks,1,1
22,174,74,M,1992,Summer,Barcelona,Shooting,Thanks,1,1
26,165,55,M,2004,Summer,Athina,Wrestling,Silver,1,1
24,181,82,M,1976,Summer,Montreal,Sailing,Thanks,1,1
28,181,82,M,1980,Summer,Moskva,Sailing,Gold,1,1
32,181,82,M,1984,Summer,Los Angeles,Sailing,Thanks,1,1
22,182,67,M,1980,Summer,Moskva,Athletics,Thanks,1,1
26,182,67,M,1984,Summer,Los Angeles,Athletics,Bronze,1,1
29,188,97,M,1964,Summer,Tokyo,Wrestling,Thanks,1,1
25,168,105,F,1980,Summer,Moskva,Athletics,Thanks,1,1
21,185,82,M,1984,Summer,Los Angeles,Rowing,Thanks,1,1
21,163,60,F,2004,Summer,Athina,Cycling,Silver,1,2
27,190,80,M,2012,Summer,London,Athletics,Thanks,1,1
21,180,73,M,2008,Summer,Beijing,Football,Thanks,1,1
34,190,85,M,2004,Summer,Athina,Handball,Thanks,1,1
38,190,85,M,2008,Summer,Beijing,Handball,Gold,1,1
38,174,74,M,1984,Summer,Los Angeles,Shooting,Thanks,1,1
35,155,43,F,2004,Summer,Athina,Athletics,Thanks,1,1
18,168,60,M,2004,Summer,Athina,Athletics,Thanks,1,1
16,180,70,M,1976,Summer,Montreal,Athletics,Thanks,1,1
30,169,75,M,1968,Summer,Mexico City,Fencing,Thanks,1,3
30,181,79,M,1992,Summer,Barcelona,Fencing,Silver,1,1
22,178,70,M,1936,Summer,Berlin,Swimming,Thanks,1,2
25,170,51,M,1972,Summer,Munich,Boxing,Thanks,1,1
23,175,71,M,1920,Summer,Antwerpen,Football,Thanks,1,1
23,175,71,M,1928,Summer,Amsterdam,Football,Thanks,1,1
25,178,71,M,1936,Summer,Berlin,Modern Pentathlon,Bronze,1,1
26,176,67,M,1972,Summer,Munich,Athletics,Thanks,1,1
