age,workclass,education,edu-num,marital-status,occupation,relationship,race,sex,income
38, Local-gov, 10th,2, Married-civ-spouse, Adm-clerical, Wife, Black, Male, >50K
42, Private, Doctorate,2, Widowed, Farming-fishing, Not-in-family, Black, Male, <=50K
45, Federal-gov, Preschool,5, Never-married, Exec-managerial, Own-child, White, Male, >50K
43, Federal-gov, 12th,11, Married-civ-spouse, ?, Own-child, Amer-Indian-Eskimo, Male, <=50K
44, Local-gov, Masters,9, Never-married, Sales, Other-relative, Asian-Pac-Islander, Female, >50K
37, State-gov, 5th-6th,7, Married-AF-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female, <=50K
44, ?, 1st-4th,14, Separated, Sales, Own-child, White, Female, >50K
44, Without-pay, Preschool,1, Widowed, Transport-moving, Unmarried, White, Male, <=50K
37, ?, Assoc-acdm,1, Never-married, Priv-house-serv, Unmarried, Black, Female, >50K
43, Local-gov, 11th,9, Separated, Other-service, Not-in-family, Black, Female, >50K
33, Private, HS-grad,1, Never-married, Exec-managerial, Wife, Black, Male, >50K
34, Local-gov, 12th,14, Married-spouse-absent, Other-service, Unmarried, White, Male, <=50K
42, Private, Preschool,16, Widowed, Transport-moving, Not-in-family, Other, Male, <=50K
35, Local-gov, 7th-8th,4, Never-married, Craft-repair, Husband, Black, Female, >50K
37, Private, 7th-8th,10, Married-AF-spouse, Handlers-cleaners, Wife, Other, Female, >50K
36, Federal-gov, Bachelors,15, Never-married, Adm-clerical, Not-in-family, White, Male, <=50K
47, Private, HS-grad,2, Married-AF-spouse, Sales, Husband, Asian-Pac-Islander, Female, >50K
38, Private, Prof-school,12, Married-civ-spouse, Farming-fishing, Husband, White, Male, <=50K
35, Without-pay, Some-college,9, Divorced, Priv-house-serv, Not-in-family, White, Male, <=50K
33, State-gov, HS-grad,10, Never-married, Exec-managerial, Unmarried, Black, Male, <=50K
27, Private, Some-college,12, Married-spouse-absent, Prof-specialty, Husband, White, Male, >50K
25, Private, Assoc-acdm,9, Never-married, Protective-serv, Own-child, White, Male, <=50K
46, Private, Some-college,11, Married-civ-spouse, Craft-repair, Husband, White, Male, >50K
37, Private, HS-grad,9, Never-married, Prof-specialty, Husband, White, Male, >50K
30, State-gov, 1st-4th,7, Never-married, ?, Not-in-family, White, Male, <=50K
24, Private, 1st-4th,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, <=50K
30, Private, 11th,5, Married-civ-spouse, ?, Wife, White, Female, >50K
44, Private, Masters,4, Never-married, Machine-op-inspct, Husband, White, Female, >50K
52, Private, 7th-8th,4, Married-civ-spouse, Sales, Other-relative, White, Female, <=50K
47, Private, HS-grad,4, Married-civ-spouse, Other-service, Husband, White, Male, <=50K
27, Private, HS-grad,1, Never-married, Sales, Not-in-family, White, Male, >50K
45, Self-emp-not-inc, Assoc-acdm,3, Never-married, Craft-repair, Own-child, White, Female, <=50K
25, Private, Doctorate,1, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male, <=50K
65, Private, Bachelors,16, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male, <=50K
52, Private, Preschool,16, Divorced, Other-service, Husband, White, Male, <=50K
42, Private, Bachelors,1, Married-civ-spouse, Exec-managerial, Other-relative, White, Male, <=50K
28, Self-emp-inc, Bachelors,7, Married-civ-spouse, ?, Not-in-family, Black, Male, >50K
30, Private, Some-college,16, Never-married, Handlers-cleaners, Husband, White, Male, <=50K
40, Private, 11th,16, Divorced, Adm-clerical, Not-in-family, White, Female, <=50K
35, Private, 11th,12, Married-civ-spouse, Other-service, Not-in-family, White, Male, <=50K
49, Private, HS-grad,14, Divorced, Farming-fishing, Unmarried, White, Male, <=50K
49, ?, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Female, >50K
52, Private, Prof-school,5, Widowed, Other-service, Husband, White, Female, <=50K
59, Private, 5th-6th,9, Married-civ-spouse, Farming-fishing, Unmarried, White, Female, <=50K
45, Without-pay, 1st-4th,2, Divorced, Craft-repair, Husband, White, Male, <=50K
30, Private, 5th-6th,10, Separated, Exec-managerial, Other-relative, White, Male, <=50K
13, State-gov, HS-grad,7, Never-married, Craft-repair, Not-in-family, White, Male, <=50K
36, Private, HS-grad,9, Married-civ-spouse, ?, Not-in-family, White, Male, <=50K
70, Without-pay, Bachelors,9, Married-civ-spouse, Sales, Other-relative, White, Male, >50K
59, Self-emp-not-inc, Bachelors,3, Never-married, Sales, Husband, White, Male, <=50K
49, Private, HS-grad,13, Married-civ-spouse, Prof-specialty, Husband, White, Male, >50K
50, Without-pay, Assoc-voc,7, Never-married, Sales, Unmarried, Black, Female, >50K
30, Private, 7th-8th,9, Never-married, Prof-specialty, Own-child, White, Female, <=50K
22, Private, Some-college,13, Never-married, Sales, Not-in-family, White, Male, <=50K
44, Federal-gov, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Female, <=50K
52, ?, Bachelors,13, Never-married, Sales, Own-child, White, Female, <=50K
17, Private, Some-college,10, Separated, Prof-specialty, Own-child, White, Female, <=50K
62, Federal-gov, Masters,11, Married-civ-spouse, Priv-house-serv, Husband, White, Female, <=50K
16, Private, Some-college,9, Never-married, Sales, Own-child, White, Female, <=50K
61, Private, 9th,9, Married-civ-spouse, Protective-serv, Husband, White, Male, <=50K
11, Local-gov, Some-college,10, Never-married, Prof-specialty, Unmarried, White, Female, <=50K
58, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Prof-specialty, Unmarried, White, Male, <=50K
