Age,Height,Weight,Sex,Year,Season,City,Sport,Medal,AOS,AOE
26,180,75,M,1996,Winter,Sydney,Gymnastics,Silver,1,4
28,176,77,M,1904,Summer,Salt Lake City,Basketball,Bronze,2,4
27,176,71,M,1936,Summer,Innsbruck,Cycling,Gold,3,3
26,182,77,M,1948,Summer,Berlin,Handball,Thanks,3,5
25,178,75,F,1988,Summer,Sochi,Golf,Thanks,2,2
25,181,77,M,1964,Summer,Mexico City,Polo,Silver,2,7
24,179,74,M,1956,Summer,Torino,Athletics,Thanks,3,8
25,173,70,M,2014,Summer,Atlanta,Figure Skating,Silver,2,2
27,181,74,F,1980,Summer,Albertville,Diving,Bronze,3,9
25,179,59,F,1924,Summer,Cortina d'Ampezzo,Synchronized Swimming,Bronze,3,4
25,182,77,M,2000,Winter,Sydney,Speed Skating,Silver,2,9
28,181,71,M,1964,Winter,Calgary,Lacrosse,Gold,3,4
28,183,87,M,1928,Summer,Albertville,Cycling,Gold,1,3
28,177,69,M,2000,Summer,Amsterdam,Softball,Gold,2,6
24,180,73,M,2014,Winter,Innsbruck,Freestyle Skiing,Bronze,2,5
30,185,72,F,1912,Summer,Montreal,Skeleton,Thanks,1,3
25,180,79,M,1968,Summer,Sapporo,Cross Country Skiing,Gold,1,1
20,170,71,M,1956,Winter,Chamonix,Art Competitions,Thanks,1,2
32,180,71,M,1998,Summer,Lillehammer,Baseball,Thanks,1,1
24,174,75,M,2012,Summer,Athina,Snowboarding,Gold,3,2
27,179,67,F,2002,Winter,Berlin,Polo,Thanks,1,1
25,182,67,M,1988,Summer,London,Lacrosse,Thanks,3,9
28,179,84,M,2016,Summer,Berlin,Skeleton,Thanks,1,1
33,181,70,M,1956,Summer,Helsinki,Modern Pentathlon,Bronze,2,2
26,168,78,M,1996,Summer,Sapporo,Bobsleigh,Thanks,1,1
19,168,76,M,1968,Summer,Oslo,Taekwondo,Thanks,1,1
28,172,82,M,1994,Summer,Seoul,Sailing,Thanks,1,1
28,179,75,M,1996,Summer,Stockholm,Rugby,Bronze,1,1
24,176,79,M,1984,Summer,Montreal,Skeleton,Thanks,1,1
28,176,78,M,1996,Summer,Torino,Water Polo,Thanks,1,1
27,168,65,F,1994,Summer,Tokyo,Baseball,Bronze,1,4
22,169,56,M,1988,Summer,St. Louis,Freestyle Skiing,Thanks,1,1
28,173,70,M,1960,Summer,Montreal,Ice Hockey,Thanks,1,1
28,184,77,M,1996,Summer,Garmisch-Partenkirchen,Nordic Combined,Gold,1,9
