Age,Height,Weight,Sex,Year,Season,City,Sport,Medal,AOS,AOE
31,173,80,M,1896,Winter,St. Louis,Archery,Thanks,1,2
25,178,73,F,2014,Summer,Garmisch-Partenkirchen,Short Track Speed Skating,Gold,1,1
25,180,72,M,1960,Winter,Vancouver,Taekwondo,Bronze,3,6
28,175,71,M,1960,Winter,Albertville,Freestyle Skiing,Gold,3,1
28,181,77,F,1992,Winter,Beijing,Handball,Gold,3,5
29,177,71,M,1906,Summer,Innsbruck,Beach Volleyball,Silver,3,9
30,174,77,M,1900,Winter,London,Athletics,Thanks,3,5
29,180,64,M,2000,Summer,Barcelona,Swimming,Bronze,3,8
27,178,64,M,2006,Summer,Antwerpen,Basketball,Thanks,1,3
28,179,72,F,1896,Summer,Barcelona,Shooting,Silver,2,1
29,177,75,M,2006,Summer,Atlanta,Modern Pentathlon,Gold,1,1
28,176,70,F,1920,Summer,Paris,Beach Volleyball,Thanks,1,7
28,176,61,M,1904,Summer,St. Louis,Football,Bronze,3,3
25,181,74,M,1972,Winter,Tokyo,Beach Volleyball,Silver,1,3
29,174,63,F,1996,Summer,Salt Lake City,Curling,Thanks,1,5
23,175,69,F,2012,Summer,Oslo,Gymnastics,Bronze,2,2
25,183,73,M,1932,Summer,Montreal,Biathlon,Thanks,1,1
25,181,79,M,1972,Summer,Los Angeles,Fencing,Thanks,1,5
26,175,64,M,1968,Summer,Grenoble,Biathlon,Thanks,1,1
24,173,59,M,1904,Summer,Grenoble,Freestyle Skiing,Thanks,1,7
26,170,63,M,2006,Summer,Paris,Skeleton,Gold,1,7
29,177,74,M,1976,Summer,Helsinki,Gymnastics,Silver,1,2
28,172,70,F,2004,Summer,Torino,Triathlon,Thanks,2,4
22,186,90,M,2002,Winter,Tokyo,Biathlon,Thanks,1,1
26,177,76,M,2016,Summer,Paris,Swimming,Thanks,1,1
27,171,62,F,2004,Winter,Rio de Janeiro,Ice Hockey,Thanks,3,5
29,174,68,M,2004,Summer,Atlanta,Taekwondo,Thanks,1,1
29,168,70,M,1984,Summer,Paris,Beach Volleyball,Thanks,1,4
24,176,69,M,1984,Summer,Grenoble,Synchronized Swimming,Thanks,1,1
28,171,65,M,1984,Summer,Atlanta,Taekwondo,Thanks,1,1
28,179,69,M,2016,Summer,Grenoble,Taekwondo,Thanks,1,1
27,175,97,M,1896,Summer,Innsbruck,Gymnastics,Thanks,1,1
29,169,60,M,1912,Summer,Amsterdam,Lacrosse,Thanks,1,1
28,178,55,M,1968,Summer,Roma,Biathlon,Thanks,1,1
33,167,64,M,1964,Summer,Barcelona,Taekwondo,Thanks,1,3
34,172,62,M,1968,Summer,London,Short Track Speed Skating,Thanks,1,2
30,175,54,F,1912,Summer,Squaw Valley,Swimming,Thanks,1,6
27,183,86,M,1972,Summer,Helsinki,Cross Country Skiing,Thanks,1,1
25,190,77,M,1980,Summer,Moskva,Athletics,Thanks,1,6
22,170,54,F,1998,Summer,Athina,Alpine Skiing,Thanks,2,7
24,181,73,M,1984,Summer,London,Canoeing,Thanks,1,1
20,167,51,F,1908,Summer,Sydney,Football,Thanks,1,3
24,177,75,M,1996,Summer,Barcelona,Canoeing,Thanks,1,3
25,179,77,M,1996,Summer,Tokyo,Tug-Of-War,Thanks,1,1
27,182,82,M,1924,Summer,Paris,Athletics,Thanks,1,7
27,186,70,M,2016,Summer,Sydney,Athletics,Thanks,1,7
22,189,84,M,1984,Summer,Beijing,Football,Thanks,1,1
27,178,93,M,2002,Summer,Barcelona,Football,Thanks,1,1
24,175,79,M,1992,Summer,Sydney,Swimming,Thanks,1,1
24,190,100,M,1988,Summer,Berlin,Swimming,Thanks,1,1
24,178,73,M,2000,Summer,Sydney,Rugby Sevens,Thanks,1,5
24,175,62,M,2000,Summer,Vancouver,Baseball,Thanks,1,3
26,182,80,M,1936,Summer,Cortina d'Ampezzo,Baseball,Thanks,1,3
21,167,52,F,2004,Summer,Atlanta,Golf,Thanks,1,3
28,179,73,M,1968,Summer,Chamonix,Skeleton,Thanks,1,1
17,192,87,M,2000,Summer,Beijing,Football,Thanks,1,1
29,164,58,M,1952,Winter,Barcelona,Curling,Thanks,1,7
27,190,104,M,1948,Summer,Montreal,Ice Hockey,Thanks,1,1
26,168,60,M,2016,Winter,Vancouver,Boxing,Thanks,1,1
25,179,78,M,2016,Summer,Beijing,Tennis,Thanks,1,1
30,182,85,M,1952,Summer,Innsbruck,Gymnastics,Thanks,1,1
21,166,48,F,2006,Winter,Roma,Athletics,Thanks,1,1
26,185,84,M,1924,Summer,Montreal,Handball,Thanks,1,1
34,182,94,M,1984,Summer,Los Angeles,Badminton,Thanks,1,1
